,id,module,supermodule,dim_1,dim_2
3579,TM7SF3,3,1,-2.24191444727613,0.119425631464998
3580,STK38L,12,1,2.6102209129648,-3.3663605681047
3581,CCDC91,27,1,-1.43318718287184,-0.938603371976335
3582,AC012150.1,22,1,2.10618392017649,-1.0036242014155
3583,FAR2,6,1,-1.27933472010328,2.67300090879349
3584,OVCH1-AS1,20,1,-1.51279729220106,-2.20368900209518
3585,DENND5B,16,1,4.87395531323717,2.30691657155899
3586,RESF1,23,1,1.55193186190889,-1.99777915388199
3587,BICD1,2,1,-0.00829928728773055,2.58344755262284
3588,FGD4,8,1,1.26901203778551,-2.45357766061874
3589,DNM1L,17,1,-1.98045223566725,3.31912407964615
3590,CPNE8,2,1,-0.564150985209483,1.81775579542069
3591,KIF21A,16,1,3.95974296716021,1.91057024091629
3592,SLC2A13,5,1,0.292258564503651,-2.57754852682205
3593,LRRK2,5,1,-0.698436435191173,-2.25873556047531
3594,AC090630.1,5,1,0.405017200978261,-2.5572785368547
3595,YAF2,8,1,0.870450798542958,-3.21829523950668
3596,IRAK4,1,1,-1.83117025706007,1.0042277345076
3597,TMEM117,2,1,-1.15165108057692,2.05812440008072
3598,NELL2,16,1,4.62959295895861,2.14956650823502
3599,ANO6,1,1,-2.51327913614942,0.769559002818148
3600,ARID2,3,1,-2.02104013773634,-0.358575307427366
3601,SCAF11,10,1,-1.46259706827833,1.20898399442581
3602,SLC38A2,7,1,1.87726223853396,-2.75390782266708
3603,AC008014.1,27,1,-0.766199763743419,-1.93528869062515
